prefixo;numero_titulo;parcela;tipo;cliente_codigo;loja;nome_cliente;dt_emissao;vencimento;vendedor;gerente;Saldo atual
AFI;14348;;NF;008654;01;HOSPITAL JAGUARA;20/02/2026;20/03/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 1.027,27
AFI;14357;;NF;002645;04;COMPL. HOSP SAO CAET;20/02/2026;20/02/2026;JESSICA CRUZ;AMAURI;R$ 71.245,20
AFI;14358;;NF;002645;04;COMPL. HOSP SAO CAET;20/02/2026;20/02/2026;JESSICA CRUZ;AMAURI;R$ 716.114,71
AFI;14373;;NF;008309;01;HELMED;25/02/2026;27/03/2026;FIRST MEDICAL SERVICE LTDA;RENATO;R$ 300,00
AFI;14426;;NF;001021;52;NOTRE DAME INTERMEDI;02/03/2026;01/04/2026;FRANCISCO GILMAR VELOSO SILVA FILHO LTDA;RONALDO;R$ 85.000,00
AFI;14429;;NF;001021;26;HOSPITAL ABC;02/03/2026;01/04/2026;FRANCISCO GILMAR VELOSO SILVA FILHO LTDA;RONALDO;R$ 16.500,00
AFI;14434;;NF;001021;02;HOSPITAL FREI GALVAO;02/03/2026;17/03/2026;HENRIQUE CARVALHO;AMAURI;R$ 600,00
AFI;14456;;NF;780585;01;FMS - FUNDO MUNICIAL;06/03/2026;06/04/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 26.133,24
AFI;14465;;NF;780240;01;FUNDO MUNICIPAL;09/03/2026;08/04/2026;VITAMED SOLUTIONS LTDA;AMAURI;R$ 11.500,00
AFI;14466;;NF;002645;04;COMPL. HOSP SAO CAET;09/03/2026;20/03/2026;JESSICA CRUZ;AMAURI;R$ 71.245,20
AFI;14467;;NF;002645;04;COMPL. HOSP SAO CAET;10/03/2026;20/03/2026;JESSICA CRUZ;AMAURI;R$ 702.172,23
AFI;14509;;NF;002423;01;STA CASA SAO CARLOS;13/03/2026;30/03/2026;MAZER & ROSSETO COM MANUT EQUIP HOSPITAL;RONALDO;R$ 22.600,00
AFI;14511;;NF;780987;01;ABRASOCIAL ASSOCIACA;13/03/2026;12/05/2026;PAULO;AMAURI;R$ 49.616,50
AFI;14569;;NF;001580;01;MUNIC DE JABOTICABAL;26/03/2026;27/04/2026;EQUIPAMED EQUIPAMENTOS MEDICOS LTDA;AMAURI;R$ 17.000,00
AFI;14578;;NF;008309;01;HELMED;27/03/2026;27/04/2026;FIRST MEDICAL SERVICE LTDA;RENATO;R$ 300,00
AFI;14592;;NF;001021;26;HOSPITAL ABC;01/04/2026;04/05/2026;FRANCISCO GILMAR VELOSO SILVA FILHO LTDA;RONALDO;R$ 16.500,00
AFI;14615;;NF;001021;02;HOSPITAL FREI GALVAO;02/04/2026;17/04/2026;HENRIQUE CARVALHO;AMAURI;R$ 600,00
AFI;14626;;NF;004079;01;DR. RADAMES NARDINI;06/04/2026;06/05/2026;JESSICA CRUZ;AMAURI;R$ 42.000,00
AFI;14633;;NF;780585;01;FMS - FUNDO MUNICIAL;07/04/2026;07/05/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 26.133,24
AFI;14638;;NF;006483;03;ASSOC FIL NV ESPERAN;08/04/2026;23/04/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 2.800,00
AFI;14642;;NF;001021;53;NOTRE DAME INTERMEDI;09/04/2026;11/05/2026;FERNANDO DURAO LORDELLO FILHO;RONALDO;R$ 85.000,00
AFI;14649;;NF;002645;04;COMPL. HOSP SAO CAET;13/04/2026;20/04/2026;JESSICA CRUZ;AMAURI;R$ 71.245,20
AFI;14650;;NF;002645;04;COMPL. HOSP SAO CAET;13/04/2026;20/04/2026;JESSICA CRUZ;AMAURI;R$ 703.772,23
AFI;14669;;NF;780987;01;ABRASOCIAL ASSOCIACA;14/04/2026;15/06/2026;PAULO;AMAURI;R$ 49.616,50
AFI;14708;;NF;002423;01;STA CASA SAO CARLOS;16/04/2026;30/04/2026;MAZER & ROSSETO COM MANUT EQUIP HOSPITAL;RONALDO;R$ 22.600,00
